alpha_deg,neutral_resolved,unfavorable_6mM_z70,unfavorable_20mM_z70,unfavorable_50mM_z70,unfavorable_100mM_z70,unfavorable_50mM_z50,unfavorable_50mM_z30,unfavorable_100mM_z30,unfavorable_50mM_z70_100xD
164,0.98693,0.98031,0.98522,0.99549,1.00000,0.99602,0.99712,1.00000,0.95657
165,0.98794,0.98256,0.98749,0.99605,1.00000,0.99602,0.99712,1.00000,0.95999
166,0.99095,0.98369,0.98749,0.99605,1.00000,0.99716,0.99770,1.00000,0.96360
167,0.99347,0.98594,0.99034,0.99662,1.00000,0.99716,0.99827,1.00000,0.96748
168,0.99397,0.98706,0.99090,0.99662,1.00000,0.99716,0.99885,1.00000,0.97188
169,0.99548,0.98875,0.99090,0.99662,1.00000,0.99772,0.99885,1.00000,0.97549
170,0.99598,0.99156,0.99147,0.99662,1.00000,0.99772,0.99942,1.00000,0.97891
171,0.99598,0.99213,0.99318,0.99662,1.00000,0.99772,0.99942,1.00000,0.98088
172,0.99598,0.99438,0.99545,0.99831,1.00000,0.99886,0.99942,1.00000,0.98390
173,0.99698,0.99550,0.99659,0.99831,1.00000,0.99886,0.99942,1.00000,0.98673
174,0.99799,0.99606,0.99773,0.99887,1.00000,1.00000,1.00000,1.00000,0.98844
175,0.99899,0.99719,0.99773,0.99887,1.00000,1.00000,1.00000,1.00000,0.99041
176,0.99899,0.99775,0.99773,0.99944,1.00000,1.00000,1.00000,1.00000,0.99290
177,1.00000,0.99888,0.99829,1.00000,1.00000,1.00000,1.00000,1.00000,0.99455
178,1.00000,0.99944,0.99943,1.00000,1.00000,1.00000,1.00000,1.00000,0.99678
179,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.99842
180,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
